,sentece,sense_polar,Results,Truth
0,[CLS] Not an easy film to like at first with both the lead characters quite unlikeable but luckily the heart and soul of the film is Paula Sage's touching performance which drives the film into uncharted waters and transcends the rather awkward storyline. This gives the film a feeling of real truth and makes you think you've seen something special.(7/10),-0.8540882468223572,0,0
1,"[CLS] I read the book before seeing the movie, and the film is one of the best adaptations out there. Very true and faithful to the book. Sean Penn and Sarandon are amazing. Robbins is a talented filmaker and I wish he would add more to his repetoire. He made the film very haunting and intentionally slow-paced to add depth. An especially brilliant bit of filmaking was the reflection of the victims appearing in the glass of the execution room at the very end.",-0.2792913019657135,0,0
2,"[CLS] DOCTEUR PETIOT, starring Michel Serrault, is a brutal story about a brutal man. A doctor who heals the sick in occupied France, even if their ability to compensate is not there. Yet, he preys on the weakest amidst the populace. The imagery and cinematography are superb, and lend an additional macabre feeling to this complex story. He is the perfect psychopath. Seductive and altruistic, intelligent and caring, calculating and murderous. A movie certain not to be forgotten soon by the viewer. Kudos to Mr. Serrault, for his chilling portrayal.",-0.6827247738838196,0,0
3,"[CLS] I just got this video used and I was watching it last night. The acting started out extremely bad (hey------hey------twister) but got very good soon after wards. The tornadoes looked extremely fake, and many of the CGI effects were very dodgy, but the scene with the house cracking apart and the contents inside being blown around and sucked out were extremely well done, and just about on par with movies like Twister. The scenes of devastation were also extremely well done too. The story was very well written, and it's refreshing to see a movie like this stray away from the same old ""disaster formulas"" movies of this genre seems to have been stuck in for 30 years.<br /><br />While this movie had a very weird mix of FX and acting quality, this merits an A in my book.",-0.7394307255744934,0,0
4,"[CLS] OK, I'm Italian but there aren't so many Italian film like this. I think that the plot is very good for 3/4 of the film but the final is too simple, too predictable. But it's the only little mistake. The Consequences of Love in my opinion have great sequences in particular at the beginning and great soundtrack. I'd like very much the lighting work on it. The best thing on it is a great, great actor. You know, if your name were Al Pacino now everybody would have still been talking about this performance. But it's only a great theater Italian actor called Toni Servillo. Yes, someone tell me this film and this kind of performance it's too slow, it's so boring, so many silences, but i think that this components its fantastic, its the right way for describing the love story between a very talented young girl, the grand-daughter of the Italian actress Anna Magnani, Olivia and the old mysterious man Toni. One of my favorite Italian films.",-0.6435611844062805,0,0
5,"[CLS] If you only see one Ernest movie in your life, make it this one! This is by far the best in the series, with its nonstop laughs and clever humor that is suitable for all ages. The other ""Ernest"" flicks were good too, but most people tend to get tired of him quickly (not ME, however.).<br /><br />In this movie, Ernest P. Whorrel is assigned jury duty for a murder case. The murderer, Nash, just happens to look EXACTLY like our bumbling hero Ernest. Mr. Nash finds this a good opportunity to escape from jail by knocking him out switching identities with him, and so we get to see how Ernest reacts in the slammer.<br /><br />A great flick! If you haven't already seen it, watch it!",-0.7102229595184326,0,0
6,"[CLS] This is a movie that i can watch over and over and never ever get tired of it, it has lot's of laughs, guns, action, crime,, good one liners, and a decent plot, with an over the top, Donald Sutherland in a rather comedic role as an Assasain. Tia Carerra looks as hot as she ever did and can act too, Thomas Ian Griffin is great in this as the lead character ""Max"" a DEA agent Diane is the FBI agent, played by Carerra, and John Lithgow from Frazier on TV, plays the bad guy,, ""Livingston"". The plot centers around Max and Diane trying to capture Livingston while they fight and argue with each other about who gets the money for the respective agencies, throw into the mix the Assassain Sutherland, who pretty much has all the good one liners, this is the perfect crime caper, there is the usual love story,, but played very differently than you would think by Carerra and Griffith. You also have the Russian mafia, Italian Mafia, and Chineese Mafia here thrown into the mix,, the film is shot in Boston,, where you have some great shots , and locals,, great photography and music in this film, this movie is just the epitome of a crime comedy,, it has everything that one could ever want. Check out Sutherland's toilet in a particular scene,, very unusual. this film is a riot and will make you laugh real hard 10 plus for me.",-0.8363481163978577,0,0
7,"[CLS] Another Spanish movie about the 1936 Civil War. This time we're told about the story of Carol (lovely played by débutant Clara Lago), a little girl which comes to live to a little Spanish village from New York. It is such an initiating trip, and soon she'll find about the injustices of the human race, their stupid fights and conflicts, their contradictions.<br /><br />Imanol Uribe makes his best film since ""Días Contados"" (1994) with such a sober pulse, a beautiful photography, and a nice script. He tries not to take part in the conflict, he just shows us some facts and let us decide (ok, the facts are explicit enough to make us decide in which band are we in) and he takes a huge advantage of the presence and the freshness of the young starring couple: Clara Lago and Juan José Ballesta.<br /><br />A well cared production.<br /><br />My rate: 7/10",-0.8078970909118652,0,0
8,"[CLS] A trio of buddies, sergeants all in the British Army, carouse & brawl their way across Imperial India. Intensely loyal to each other, they meet their greatest & most deadly challenge when they encounter the resurgence of a hideous cult & its demented, implacable guru. Now they must rely on the lowliest servant of the regiment, the water carrier GUNGA DIN, to save scores of the Queen's soldiers from certain massacre.<br /><br />Based more on The Three Musketeers than Kipling's classic poem, this is a wonderful adventure epic - a worthy entry in Hollywood's Golden Year of 1939. Filled with suspense & humor, while keeping the romantic interludes to the barest minimum, it grips the interest of the viewer and holds it right up to the (sentimental) conclusion.<br /><br />It is practically fruitless to discuss the performance nuances of the three stars, Cary Grant, Victor McLaglen & Douglas Fairbanks Jr., as they are really all thirds of a single organism - inseparable and, to all intents & purposes, indistinguishable. However, this diminishes nothing of the great fun in simply watching them have a glorious time.<br /><br />(It's interesting to note, parenthetically, that McLaglen boasted of a distinguished World War One military career; Fairbanks would have a sterling record in World War Two - mostly in clandestine affairs & earning himself no fewer than 4 honorary knighthoods after the conflict; while Grant reportedly worked undercover for British Intelligence, keeping an ey",-0.571179211139679,0,0
9,"[CLS] I thought that ROTJ was clearly the best out of the three Star Wars movies. I find it surprising that ROTJ is considered the weakest installment in the Trilogy by many who have voted. To me it seemed like ROTJ was the best because it had the most profound plot, the most suspense, surprises, most emotional,(especially the ending) and definitely the most episodic movie. I personally like the Empire Strikes Back a lot also but I think it is slightly less good than than ROTJ since it was slower-moving, was not as episodic, and I just did not feel as much suspense or emotion as I did with the third movie.<br /><br />It also seems like to me that after reading these surprising reviews that the reasons people cited for ROTJ being an inferior film to the other two are just plain ludicrous and are insignificant reasons compared to the sheer excellence of the film as a whole. I have heard many strange reasons such as: a) Because Yoda died b) Because Bobba Fett died c) Because small Ewoks defeated a band of stormtroopers d) Because Darth Vader was revealed<br /><br />I would like to debunk each of these reasons because I believe that they miss the point completely. First off, WHO CARES if Bobba Fett died??? If George Lucas wanted him to die then he wanted him to die. Don't get me wrong I am fan of Bobba Fett but he made a few cameo appearances and it was not Lucas' intention to make him a central character in the films that Star Wars fans made him out to be. His name was not even ",0.010786511935293674,1,0
