antonym_1|antonym_2|example_antonym_1|example_antonym_2|def1|def2
positive|negative|he had a positive outlook on life.|she expressed a negative opinion about the proposal.|expressing approval, favor, or confidence; showing a favorable attitude or outlook|expressing disapproval, dissatisfaction, or pessimism; showing an unfavorable attitude or outlook
joy|sorrow|the joy on his face was evident.|she couldn't hide her sorrow after the loss.|a feeling of great pleasure, happiness, or delight; an emotion associated with positive experiences|a feeling of deep distress, sadness, or grief; an emotion associated with negative experiences
love|hate|they were deeply in love.|he couldn't hide his hate towards his rival.|an intense feeling of affection, care, and attachment towards someone or something|a strong feeling of hostility, aversion, or intense dislike towards someone or something
hope|despair|she clung to hope during difficult times.|he felt a sense of despair after the failure.|a feeling of optimism and expectation for a positive outcome or future event|a feeling of utter hopelessness, loss of faith, or complete lack of hope
confidence|doubt|he spoke with confidence during the presentation.|she doubted her ability to complete the task.|a belief in oneself or someone else's abilities, assurance, or self-assurance|a lack of certainty, suspicion, or skepticism about a person, situation, or outcome
pleasure|pain|the food gave him great pleasure.|he winced in pain as he stubbed his toe.|a feeling of enjoyment, satisfaction, or delight derived from a positive experience|a physical or emotional sensation of discomfort, suffering, or distress
optimism|pessimism|despite the challenges, she remained optimistic.|his pessimism often led to negative outcomes.|a positive mindset that expects favorable outcomes and looks for the best in every situation|a negative mindset that expects unfavorable outcomes and focuses on the worst aspects of a situation
excitement|apathy|he couldn't contain his excitement about the trip.|she felt a sense of apathy towards the event.|a feeling of enthusiasm, eagerness, or intense interest in something|a lack of interest, enthusiasm, or concern; a feeling of indifference or disinterest
kindness|cruelty|her kindness towards others was admired.|he was known for his cruelty towards animals.|showing benevolence, compassion, or goodwill towards others|showing indifference, malice, or a willingness to cause harm to others
courage|fear|he showed courage in the face of danger.|her fear of heights prevented her from climbing the ladder.|the ability to face danger, difficulty, or pain without being overcome by fear|an unpleasant emotion caused by the belief that someone or something is dangerous, likely to cause pain, or a threat
generosity|greed|his generosity knew no bounds.|her greed for power led to unethical decisions.|a readiness to give or share without expecting anything in return|an excessive desire for wealth, possessions, or material gain at the expense of others
forgiveness|resentment|she forgave him for his mistakes.|he held deep resentment towards his former friend.|the act of pardoning or ceasing to feel anger or resentment towards an offender|the feeling of bitterness or indignation resulting from a perceived wrong or offense
faith|doubt|she had faith in her abilities.|he couldn't help but doubt the truth of the story.|complete trust or confidence in someone or something, especially without proof or evidence|uncertainty or lack of conviction about the truth, reality, or reliability of something
compassion|indifference|his compassion towards the needy was commendable.|she displayed indifference towards the suffering of others.|a feeling of deep sympathy and sorrow for the suffering or misfortune of others|a lack of interest, concern, or sympathy for the feelings or circumstances of others
happiness|sadness|the news brought great happiness to the family.|her face was filled with sadness after the breakup.|a state of being characterized by feelings of joy, contentment, or pleasure|a state of unhappiness, sorrow, or melancholy
bravery|cowardice|he showed bravery in the face of danger.|her cowardice prevented her from confronting the bully.|the quality of being brave or courageous in the face of danger or adversity|the lack of courage to face danger, difficulty, or pain; fearfulness
confidence|insecurity|he exuded confidence during the interview.|she struggled with feelings of insecurity about her appearance.|a feeling of self-assurance, self-reliance, or belief in one's abilities|a lack of confidence or assurance; uncertainty about oneself or one's abilities
