word,antonym_1,antonym_2,value
sun,hot,cold,-5.337394
sun,happy,sad,-1.8447943
sun,good,bad,-1.5550858
sun,fast,slow,-0.78205514
sun,big,small,-0.059285045
ball,hot,cold,-1.5887529
ball,happy,sad,1.0708919
ball,good,bad,-0.6980417
ball,fast,slow,-0.17245013
ball,big,small,-0.051563382
water,hot,cold,-1.760835
water,happy,sad,0.7655276
water,good,bad,0.34997085
water,fast,slow,0.09733406
water,big,small,0.082137585
eagle,hot,cold,-1.5344275
eagle,happy,sad,-0.92292035
eagle,good,bad,-0.40565413
eagle,fast,slow,-0.39693353
eagle,big,small,-0.37729084
child,hot,cold,-1.1253834
child,happy,sad,-0.49569365
child,good,bad,-0.38261437
child,fast,slow,0.14054513
child,big,small,0.09997624
